Id,Name,Ward,CouncilPosition,Party,PartyPosition,Parish1,Parish2,Parish3,Parish4,ParishPosition1,ParishPosition2,ParishPosition3,ParishWard1,ParishWard2,ParishWard3,ImageUrl
1,Erin Aston  ,Lawley,,Labour,,Lawley and Overdale Parish Council,Great Dawley Town Council,,,,,,Lawley East,Doseley Road,,https://democracy.telford.gov.uk/UserData/7/1/8/Info00000817/smallpic.jpg
2,Mark Boylan , Overdale and Rock,,Labour,,Oakengates Town Council,Lawley and Overdale Parish Council,,,,,,Middle Pool,Overdale and The Rock,,https://democracy.telford.gov.uk/UserData/6/4/1/Info00000146/smallpic.jpg
3,Andy Burford,Dawley & Aqueduct,,Labour,,,,,,,,,,,,https://democracy.telford.gov.uk/UserData/2/3/1/Info00000132/smallpic.jpg
4,Eileen Callear,Hadley & Leegomery,,Labour,,Hadley and Leegomery Parish Council,Ketley Parish Council,,,,,,Trench Lock,Ketley,,https://democracy.telford.gov.uk/UserData/8/1/3/Info00000318/smallpic.jpg
5,Ben Carter,Malinslee & Dawley Bank,,Labour,,Great Dawley Town Council,,,,,,,Trinity,,,https://democracy.telford.gov.uk/UserData/9/6/9/Info00000969/smallpic.jpg
6,Lee Carter,Arleston & College,Leader,Labour,,Wellington Town Council,,,,,,,College,,,https://democracy.telford.gov.uk/UserData/5/4/1/Info00000145/smallpic.jpg
7,Corrine Chikandamina,The Nedge,,Labour,,Great Dawley Town Council,,,,,,,Malinslee,,,https://democracy.telford.gov.uk/UserData/5/7/8/Info00000875/smallpic.jpg
8,Graham Cook,Haygate & Park,,Labour,,Wellington Town Council,,,,,,,Haygate,,,https://democracy.telford.gov.uk/UserData/4/2/1/Info00000124/smallpic.jpg
9,Elise Davies,Malinslee & Dawley Bank,,Labour,Wife of Shaun Davies MP,,,,,,,,,,,https://democracy.telford.gov.uk/UserData/0/2/8/Info00000820/smallpic.jpg
10,Paul Davis,Haygate & Park,Cabinet member for Strong Communities,Labour,,Wellington Town Council,Wrockwardine Parish Council,,,,,,Park,Wrockwardine,,https://democracy.telford.gov.uk/UserData/5/1/8/Info00000815/smallpic.jpg
11,Fiona Doran,Donnington,,Labour,,Wrockwardine Wood and Trench Parish Council,Donnington and Muxton Parish Council,,,,,,"Kenwray
Drive Ward",Donnington West,,https://democracy.telford.gov.uk/UserData/2/1/8/Info00000812/smallpic.jpg
12,Arnold England,Brookside,Speaker,Labour,,Madeley Town Council,Stirchley and Brookside Parish Council,,,,,,Cuckoo Oak,Brookside ,,https://democracy.telford.gov.uk/UserData/3/3/1/Info00000133/smallpic.jpg
13,Nathan England,The Nedge,Cabinet Member for Safer Streets,Labour,,Madeley Town Council,,,,,,,Madeley Village,,,https://democracy.telford.gov.uk/UserData/2/6/1/Info00000162/smallpic.jpg
14,Stephen Handley,St Georges,,Labour,,Oakengates Town Council,St. Georges and Priorslee Parish Council,,,,,,Oakengates and Wombridge,St Georges West,,https://democracy.telford.gov.uk/UserData/3/2/8/Info00000823/smallpic.jpg
15,Zona Hannington,Lawley,Cabinet Member for Finance and Resident Services,Labour,,Great Dawley Town Council,Dawley Hamlets Parish Council,Ketley Parish Council,,,,,Dawley,Horsehay,???,https://democracy.telford.gov.uk/UserData/8/1/8/Info00000818/smallpic.jpg
16,Carolyn Healy,Ironbridge Gorge,Deputy Leader and Cabinet Member for Neighbourhoods Planning & Sustainability,Labour,,The Gorge Parish Council,,,,,,,Ironbridge,,,https://democracy.telford.gov.uk/UserData/7/1/3/Info00000317/smallpic.jpg
17,Amrik Jhawar,Hadley & Leegomery,,Labour,,Hadley and Leegomery Parish Council,Ketley Parish Council,,,,,,Hadley Castle,Ketley,,https://democracy.telford.gov.uk/UserData/9/1/3/Info00000319/smallpic.jpg
18,Janice Jones,Madeley & Sutton Hill,,Labour,,Madeley Town Council,,,,,,,Cuckoo Oak,,,https://democracy.telford.gov.uk/UserData/4/5/1/Info00000154/smallpic.jpg
