Ward,Parish,ParishWard
Admaston & Bratton,Wrockwardine Parish Council,Admaston & Bratton
Apley Castle,Hadley and Leegomery Parish Council,Apley Castle
Arleston & College,Wellington Town Council,Arleston
Arleston & College,Wellington Town Council,College
Brookside,Stirchley and Brookside Parish Council,Brookside
Church Aston & Lilleshall,Church Aston Parish Council,Church Aston
Church Aston & Lilleshall,Church Aston Parish Council,Wallshead
Church Aston & Lilleshall,Lilleshall Parish Council,
Dawley & Aqueduct,Dawley Hamlets Parish Council,Aqueduct
Dawley & Aqueduct,Dawley Hamlets Parish Council,Little Dawley
Dawley & Aqueduct,Dawley Hamlets Parish Council,Smallhill Road
Dawley & Aqueduct,Great Dawley Town Council,Dawley
Donnington,Donnington and Muxton Parish Council,Donnington East
Donnington,Donnington and Muxton Parish Council,Donnington West
Edgmond,Edgmond Parish Council,
Ercall,Wellington Town Council,Ercall
Ercall Magna,Ercall Magna Parish Council,High Ercall
Ercall Magna,Ercall Magna Parish Council,Roden
Ercall Magna,Hadley and Leegomery Parish Council,Horton
Ercall Magna,Kynnersley Parish Council,
Ercall Magna,Tibberton and Cherrington Parish Council,
Ercall Magna,Waters Upton Parish Council,
Ercall Magna,Eyton on the Weald Moors Parish Meeting,
Ercall Magna,Preston upon the Weald Moors Parish Meeting,
Hadley & Leegomery,Hadley and Leegomery Parish Council,Hadley Castle
Hadley & Leegomery,Hadley and Leegomery Parish Council,Hadley Manor
Haygate & Park,Wellington Town Council,Haygate
Haygate & Park,Wellington Town Council,Park
Haygate & Park,Wellington Town Council,Meadows
Horsehay & Lightmoor,Dawley Hamlets Parish Council,Horsehay
Horsehay & Lightmoor,The Gorge Parish Council,Lightmoor
Horsehay & Lightmoor,Great Dawley Town Council,Doseley Road
Ironbridge Gorge,The Gorge Parish Council,Ironbridge Gorge
Ironbridge Gorge,The Gorge Parish Council,Coalport and Jackfield
Ketley,Ketley Parish Council,Beveley
Ketley,Ketley Parish Council,Ketley
Lawley,Lawley and Overdale Parish Council,Lawley Common
Lawley,Lawley and Overdale Parish Council,Lawley East
Lawley,Lawley and Overdale Parish Council,Lawley West
Madeley & Sutton Hill,Madeley Town Council,Academy
Madeley & Sutton Hill,Madeley Town Council,Cuckoo Oak
Madeley & Sutton Hill,Madeley Town Council,Madeley Village
Malinslee & Dawley Bank,Great Dawley Town Council,Malinslee
Malinslee & Dawley Bank,Great Dawley Town Council,Trinity
Malinslee & Dawley Bank,Lawley and Overdale Parish Council,Town Centre
Muxton,Donnington and Muxton Parish Council,Muxton
Muxton,Donnington and Muxton Parish Council,The Humbers
Newport East,Newport Town Council,Newport East
Newport North,Newport Town Council,Newport North
Newport North,Chetwynd Parish Council,
Newport South,Newport Town Council,Newport South
Newport West,Newport Town Council,Newport West
Newport West,Chetwynd Aston and Woodcote Parish Council,Chetwynd Aston
Newport West,Chetwynd Aston and Woodcote Parish Council,Station Road
Oakengates & Ketley Bank,Oakengates Town Council,Oakengates and Wombridge
Oakengates & Ketley Bank,Oakengates Town Council,Hollyhurst
Oakengates & Ketley Bank,Oakengates Town Council,Middle Pool
Oakengates & Ketley Bank,Oakengates Town Council,North
Oakengates & Ketley Bank,Hadley and Leegomery Parish Council,Trench Lock
Overdale & The Rock,Lawley and Overdale Parish Council,Overdale and The Rock
Overdale & The Rock,Hollinswood and Randlay Parish Council,
Priorslee,St. Georges and Priorslee Parish Council,Priorslee
Shawbirch & Dothill,Wellington Town Council,Shawbirch
Shawbirch & Dothill,Wellington Town Council,Dothill
St Georges,St. Georges and Priorslee Parish Council,St Georges East
St Georges,St. Georges and Priorslee Parish Council,St Georges West
St Georges,St. Georges and Priorslee Parish Council,Snedshill
The Nedge,Stirchley and Brookside Parish Council,Stirchley
The Nedge,Stirchley and Brookside Parish Council,Holmer Lake
Woodside,Madeley Town Council,Woodside
Woodside,Dawley Hamlets Parish Council,Nightingale Walk
Wrockwardine,Wrockwardine Parish Council,Wrockwardine
Wrockwardine,Wrockwardine Parish Council,Lewis Crescent
Wrockwardine,Little Wenlock Parish Council,
Wrockwardine,Rodington Parish Council,
Wrockwardine Wood & Trench,Wrockwardine Wood and Trench Parish Council,Trench
Wrockwardine Wood & Trench,Wrockwardine Wood and Trench Parish Council,Wrockwardine Wood East
Wrockwardine Wood & Trench,Wrockwardine Wood and Trench Parish Council,Wrockwardine Wood West
Wrockwardine Wood & Trench,Wrockwardine Wood and Trench Parish Council,Kenwray Drive
